Representative,State,District,Party,Signed_Date
Thomas Massie,Kentucky,04,Republican,September 2nd 2025
James P. McGovern,Massachusetts,02,Democratic,September 2nd 2025
Mary Gay Scanlon,Pennsylvania,05,Democratic,September 2nd 2025
Joe Courtney,Connecticut,02,Democratic,September 2nd 2025
Bill Foster,Illinois,11,Democratic,September 2nd 2025
Morgan McGarvey,Kentucky,03,Democratic,September 2nd 2025
Johnny Olszewski,Maryland,02,Democratic,September 2nd 2025
Dwight Evans,Pennsylvania,03,Democratic,September 2nd 2025
Bonnie Watson Coleman,New Jersey,12,Democratic,September 2nd 2025
Sean Casten,Illinois,06,Democratic,September 2nd 2025
Kristen McDonald Rivet,Michigan,08,Democratic,September 2nd 2025
Janelle S. Bynum,Oregon,05,Democratic,September 2nd 2025
Mike Quigley,Illinois,05,Democratic,September 2nd 2025
Laura Friedman,California,30,Democratic,September 2nd 2025
Chrissy Houlahan,Pennsylvania,06,Democratic,September 2nd 2025
Deborah K. Ross,North Carolina,02,Democratic,September 2nd 2025
Maxine Dexter,Oregon,03,Democratic,September 2nd 2025
Cleo Fields,Louisiana,06,Democratic,September 2nd 2025
Troy A. Carter,Louisiana,02,Democratic,September 2nd 2025
Bennie G. Thompson,Mississippi,02,Democratic,September 2nd 2025
Nancy Mace,South Carolina,01,Republican,September 2nd 2025
Gabe Vasquez,New Mexico,02,Democratic,September 2nd 2025
Greg Landsman,Ohio,01,Democratic,September 2nd 2025
Robert C. Bobby Scott,Virginia,03,Democratic,September 2nd 2025
Becca Balint,Vermont,00,Democratic,September 2nd 2025
George Whitesides,California,27,Democratic,September 2nd 2025
Nancy Pelosi,California,11,Democratic,September 2nd 2025
Jimmy Panetta,California,19,Democratic,September 2nd 2025
Josh Gottheimer,New Jersey,05,Democratic,September 2nd 2025
Paul Tonko,New York,20,Democratic,September 2nd 2025
John W. Mannion,New York,22,Democratic,September 2nd 2025
Debbie Dingell,Michigan,06,Democratic,September 2nd 2025
Yassamin Ansari,Arizona,03,Democratic,September 2nd 2025
Gregory W. Meeks,New York,05,Democratic,September 2nd 2025
Stephen F. Lynch,Massachusetts,08,Democratic,September 2nd 2025
Thomas R. Suozzi,New York,03,Democratic,September 2nd 2025
Dave Min,California,47,Democratic,September 2nd 2025
Julie Johnson,Texas,32,Democratic,September 2nd 2025
Mark Takano,California,39,Democratic,September 2nd 2025
Emily Randall,Washington,06,Democratic,September 2nd 2025
Shomari Figures,Alabama,02,Democratic,September 2nd 2025
Nikema Williams,Georgia,05,Democratic,September 2nd 2025
Sheila Cherfilus-McCormick,Florida,20,Democratic,September 2nd 2025
Jonathan L. Jackson,Illinois,01,Democratic,September 2nd 2025
Judy Chu,California,28,Democratic,September 2nd 2025
Melanie A. Stansbury,New Mexico,01,Democratic,September 2nd 2025
LaMonica McIver,New Jersey,10,Democratic,September 2nd 2025
Jason Crow,Colorado,06,Democratic,September 2nd 2025
Shontel M. Brown,Ohio,11,Democratic,September 2nd 2025
Jared F. Golden,Maine,02,Democratic,September 2nd 2025
Henry C. Hank Johnson,Georgia,04,Democratic,September 2nd 2025
Jill N. Tokuda,Hawaii,02,Democratic,September 2nd 2025
Adriano Espaillat,New York,13,Democratic,September 2nd 2025
Ro Khanna,California,17,Democratic,September 2nd 2025
Andrea Salinas,Oregon,06,Democratic,September 2nd 2025
Lauren Boebert,Colorado,04,Republican,September 2nd 2025
Sarah Elfreth,Maryland,03,Democratic,September 2nd 2025
Frederica S. Wilson,Florida,24,Democratic,September 2nd 2025
Patrick Ryan,New York,18,Democratic,September 2nd 2025
Marilyn Strickland,Washington,10,Democratic,September 2nd 2025
Marjorie Taylor Greene,Georgia,14,Republican,September 2nd 2025
Alexandria Ocasio-Cortez,New York,14,Democratic,September 2nd 2025
Lois Frankel,Florida,22,Democratic,September 2nd 2025
Kelly Morrison,Minnesota,03,Democratic,September 2nd 2025
Kathy Castor,Florida,14,Democratic,September 2nd 2025
Gilbert Ray Cisneros,California,31,Democratic,September 2nd 2025
J. Luis Correa,California,46,Democratic,September 2nd 2025
Jesús G. Chuy García,Illinois,04,Democratic,September 2nd 2025
Suhas Subramanyam,Virginia,10,Democratic,September 2nd 2025
Norma J. Torres,California,35,Democratic,September 2nd 2025
Bradley Scott Schneider,Illinois,10,Democratic,September 2nd 2025
Lori Trahan,Massachusetts,03,Democratic,September 2nd 2025
Chris Pappas,New Hampshire,01,Democratic,September 2nd 2025
Alma S. Adams,North Carolina,12,Democratic,September 2nd 2025
Suzan K. DelBene,Washington,01,Democratic,September 2nd 2025
Nikki Budzinski,Illinois,13,Democratic,September 2nd 2025
