Office,Name,State,District,Party,Signature_Status,Phone,Notes
U.S. House,Barry Moore,AL,01,R,NOT_SIGNED,202-225-2901,
U.S. House,Shomari Figures,AL,02,D,PRESUMED_SIGNED,202-225-2665,Freshman
U.S. House,Mike Rogers,AL,03,R,NOT_SIGNED,202-225-3261,Armed Services Chair
U.S. House,Robert Aderholt,AL,04,R,NOT_SIGNED,202-225-4876,Appropriations
U.S. House,Dale Strong,AL,05,R,NOT_SIGNED,202-225-4801,Freshman
U.S. House,Gary Palmer,AL,06,R,NOT_SIGNED,202-225-4921,Policy Chair
U.S. House,Terri Sewell,AL,07,D,PRESUMED_SIGNED,202-225-2665,
U.S. House,Nicholas Begich,AK,AL,R,NOT_SIGNED,202-225-5765,Freshman
U.S. House,Aumua Amata Radewagen,AS,AL,R,NOT_SIGNED,202-225-8577,Non-voting delegate
U.S. House,David Schweikert,AZ,01,R,NOT_SIGNED,202-225-2190,
U.S. House,Eli Crane,AZ,02,R,NOT_SIGNED,202-225-3361,
U.S. House,Yassamin Ansari,AZ,03,D,PRESUMED_SIGNED,202-225-3435,Freshman
U.S. House,Greg Stanton,AZ,04,D,PRESUMED_SIGNED,202-225-9888,
U.S. House,Andy Biggs,AZ,05,R,NOT_SIGNED,202-225-2635,Freedom Caucus
U.S. House,Juan Ciscomani,AZ,06,R,NOT_SIGNED,202-225-2542,Freshman moderate
U.S. House,Vacant,AZ,07,,,,,
U.S. House,Abraham Hamadeh,AZ,08,R,NOT_SIGNED,202-225-3708,Freshman
U.S. House,Paul Gosar,AZ,09,R,NOT_SIGNED,202-225-2315,
U.S. House,Rick Crawford,AR,01,R,NOT_SIGNED,202-225-4076,
U.S. House,French Hill,AR,02,R,NOT_SIGNED,202-225-2506,
U.S. House,Steve Womack,AR,03,R,NOT_SIGNED,202-225-4301,
U.S. House,Bruce Westerman,AR,04,R,NOT_SIGNED,202-225-3772,Natural Resources Chair
U.S. House,Doug LaMalfa,CA,01,R,NOT_SIGNED,202-225-3076,
U.S. House,Jared Huffman,CA,02,D,PRESUMED_SIGNED,202-225-5161,
U.S. House,Kevin Kiley,CA,03,R,NOT_SIGNED,202-225-2523,Freshman
U.S. House,Mike Thompson,CA,04,D,PRESUMED_SIGNED,202-225-3311,
U.S. House,Tom McClintock,CA,05,R,NOT_SIGNED,202-225-2511,
U.S. House,Ami Bera,CA,06,D,PRESUMED_SIGNED,202-225-5716,
U.S. House,Doris Matsui,CA,07,D,PRESUMED_SIGNED,202-225-7163,
U.S. House,John Garamendi,CA,08,D,PRESUMED_SIGNED,202-225-1880,
U.S. House,Josh Harder,CA,09,D,PRESUMED_SIGNED,202-225-4540,
U.S. House,Mark DeSaulnier,CA,10,D,PRESUMED_SIGNED,202-225-2095,
U.S. House,Nancy Pelosi,CA,11,D,PRESUMED_SIGNED,202-225-4965,Former Speaker
U.S. House,Lateefah Simon,CA,12,D,PRESUMED_SIGNED,202-225-5161,Freshman - replaced Barbara Lee
U.S. House,Adam Gray,CA,13,D,PRESUMED_SIGNED,202-225-6131,Freshman
U.S. House,Eric Swalwell,CA,14,D,PRESUMED_SIGNED,202-225-5065,
U.S. House,Kevin Mullin,CA,15,D,PRESUMED_SIGNED,202-225-3531,
U.S. House,Sam Liccardo,CA,16,D,PRESUMED_SIGNED,202-225-8104,Freshman - former San Jose mayor
U.S. House,Ro Khanna,CA,17,D,SIGNED,202-225-2631,Co-leading discharge petition
U.S. House,Zoe Lofgren,CA,18,D,PRESUMED_SIGNED,202-225-3072,
U.S. House,Jimmy Panetta,CA,19,D,PRESUMED_SIGNED,202-225-2861,
U.S. House,Vince Fong,CA,20,R,NOT_SIGNED,202-225-2915,Replaced McCarthy
U.S. House,Jim Costa,CA,21,D,PRESUMED_SIGNED,202-225-3341,
U.S. House,David G. Valadao,CA,22,R,NOT_SIGNED,202-225-4695,Moderate - impeached Trump
U.S. House,Jay Obernolte,CA,23,R,NOT_SIGNED,202-225-5861,
U.S. House,Salud Carbajal,CA,24,D,PRESUMED_SIGNED,202-225-3601,
U.S. House,Raul Ruiz,CA,25,D,PRESUMED_SIGNED,202-225-5330,
U.S. House,Julia Brownley,CA,26,D,PRESUMED_SIGNED,202-225-5811,
U.S. House,George Whitesides,CA,27,D,PRESUMED_SIGNED,202-225-1956,Freshman - defeated Mike Garcia
U.S. House,Judy Chu,CA,28,D,PRESUMED_SIGNED,202-225-5464,
U.S. House,Luz Maria Rivas,CA,29,D,PRESUMED_SIGNED,202-225-6235,Freshman
U.S. House,Laura Friedman,CA,30,D,PRESUMED_SIGNED,202-225-4176,Freshman - replaced Schiff
U.S. House,Gil Cisneros,CA,31,D,PRESUMED_SIGNED,202-225-4111,Returned to Congress
U.S. House,Brad Sherman,CA,32,D,PRESUMED_SIGNED,202-225-5911,
U.S. House,Pete Aguilar,CA,33,D,PRESUMED_SIGNED,202-225-3201,Democratic Caucus Chair
U.S. House,Jimmy Gomez,CA,34,D,PRESUMED_SIGNED,202-225-6235,
U.S. House,Norma Torres,CA,35,D,PRESUMED_SIGNED,202-225-6161,
U.S. House,Ted Lieu,CA,36,D,PRESUMED_SIGNED,202-225-3976,
U.S. House,Sydney Kamlager-Dove,CA,37,D,PRESUMED_SIGNED,202-225-7084,
U.S. House,Linda Sánchez,CA,38,D,PRESUMED_SIGNED,202-225-6676,
U.S. House,Mark Takano,CA,39,D,PRESUMED_SIGNED,202-225-2305,
U.S. House,Young Kim,CA,40,R,NOT_SIGNED,202-225-4111,GOP woman - Anti-trafficking leader
U.S. House,Ken Calvert,CA,41,R,NOT_SIGNED,202-225-1986,Appropriations
U.S. House,Robert Garcia,CA,42,D,PRESUMED_SIGNED,202-225-7924,Freshman leader
U.S. House,Maxine Waters,CA,43,D,PRESUMED_SIGNED,202-225-2201,
U.S. House,Nanette Barragán,CA,44,D,PRESUMED_SIGNED,202-225-8220,
U.S. House,Derek Tran,CA,45,D,PRESUMED_SIGNED,202-225-5611,Freshman - defeated Michelle Steel
