Office,Name,State,District,Party,Signature_Status,Phone,Date_Signed,Signature_Number
U.S. House,Thomas Massie,KY,04,R,SIGNED,202-225-3465,2025-09-02,1
U.S. House,James P. McGovern,MA,02,D,SIGNED,202-225-6101,2025-09-02,2
U.S. House,Mary Gay Scanlon,PA,05,D,SIGNED,202-225-2011,2025-09-02,3
U.S. House,Joe Courtney,CT,02,D,SIGNED,202-225-2076,2025-09-02,4
U.S. House,Bill Foster,IL,11,D,SIGNED,202-225-3515,2025-09-02,5
U.S. House,Morgan McGarvey,KY,03,D,SIGNED,202-225-5401,2025-09-02,6
U.S. House,Johnny Olszewski,MD,02,D,SIGNED,202-225-3061,2025-09-02,7
U.S. House,Dwight Evans,PA,03,D,SIGNED,202-225-4001,2025-09-02,8
U.S. House,Bonnie Watson Coleman,NJ,12,D,SIGNED,202-225-5801,2025-09-02,9
U.S. House,Sean Casten,IL,06,D,SIGNED,202-225-4561,2025-09-02,10
U.S. House,Kristen McDonald Rivet,MI,08,D,SIGNED,202-225-3611,2025-09-02,11
U.S. House,Janelle S. Bynum,OR,05,D,SIGNED,202-225-5711,2025-09-02,12
U.S. House,Mike Quigley,IL,05,D,SIGNED,202-225-4061,2025-09-02,13
U.S. House,Laura Friedman,CA,30,D,SIGNED,202-225-4176,2025-09-02,14
U.S. House,Chrissy Houlahan,PA,06,D,SIGNED,202-225-4315,2025-09-02,15
U.S. House,Deborah K. Ross,NC,02,D,SIGNED,202-225-3032,2025-09-02,16
U.S. House,Maxine Dexter,OR,03,D,SIGNED,202-225-4811,2025-09-02,17
U.S. House,Cleo Fields,LA,06,D,SIGNED,202-225-3901,2025-09-02,18
U.S. House,Troy A. Carter,LA,02,D,SIGNED,202-225-6636,2025-09-02,19
U.S. House,Bennie G. Thompson,MS,02,D,SIGNED,202-225-5876,2025-09-02,20
U.S. House,Nancy Mace,SC,01,R,SIGNED,202-225-3176,2025-09-02,21
U.S. House,Gabe Vasquez,NM,02,D,SIGNED,202-225-2365,2025-09-02,22
U.S. House,Greg Landsman,OH,01,D,SIGNED,202-225-2216,2025-09-02,23
U.S. House,Robert C. "Bobby" Scott,VA,03,D,SIGNED,202-225-8351,2025-09-02,24
U.S. House,Becca Balint,VT,AL,D,SIGNED,202-225-4115,2025-09-02,25
U.S. House,George Whitesides,CA,27,D,SIGNED,202-225-1956,2025-09-02,26
U.S. House,Nancy Pelosi,CA,11,D,SIGNED,202-225-4965,2025-09-02,27
U.S. House,Jimmy Panetta,CA,19,D,SIGNED,202-225-2861,2025-09-02,28
U.S. House,Josh Gottheimer,NJ,05,D,SIGNED,202-225-4465,2025-09-02,29
U.S. House,Paul Tonko,NY,20,D,SIGNED,202-225-5076,2025-09-02,30
U.S. House,John W. Mannion,NY,22,D,SIGNED,202-225-3701,2025-09-02,31
U.S. House,Debbie Dingell,MI,06,D,SIGNED,202-225-4071,2025-09-02,32
U.S. House,Yassamin Ansari,AZ,03,D,SIGNED,202-225-4065,2025-09-02,33
U.S. House,Gregory W. Meeks,NY,05,D,SIGNED,202-225-3461,2025-09-02,34
U.S. House,Stephen F. Lynch,MA,08,D,SIGNED,202-225-8273,2025-09-02,35
U.S. House,Thomas R. Suozzi,NY,03,D,SIGNED,202-225-3335,2025-09-02,36
U.S. House,Dave Min,CA,47,D,SIGNED,202-225-5611,2025-09-02,37
U.S. House,Julie Johnson,TX,32,D,SIGNED,202-225-2231,2025-09-02,38
U.S. House,Mark Takano,CA,39,D,SIGNED,202-225-2305,2025-09-02,39
U.S. House,Emily Randall,WA,06,D,SIGNED,202-225-5916,2025-09-02,40
U.S. House,Shomari Figures,AL,02,D,SIGNED,202-225-4931,2025-09-02,41
U.S. House,Nikema Williams,GA,05,D,SIGNED,202-225-3801,2025-09-02,42
U.S. House,Sheila Cherfilus-McCormick,FL,20,D,SIGNED,202-225-1313,2025-09-02,43
U.S. House,Jonathan L. Jackson,IL,01,D,SIGNED,202-225-4372,2025-09-02,44
U.S. House,Judy Chu,CA,28,D,SIGNED,202-225-5464,2025-09-02,45
U.S. House,Melanie A. Stansbury,NM,01,D,SIGNED,202-225-6316,2025-09-02,46
U.S. House,LaMonica McIver,NJ,10,D,SIGNED,202-225-3436,2025-09-02,47
U.S. House,Jason Crow,CO,06,D,SIGNED,202-225-7882,2025-09-02,48
U.S. House,Shontel M. Brown,OH,11,D,SIGNED,202-225-7032,2025-09-02,49
U.S. House,Jared F. Golden,ME,02,D,SIGNED,202-225-6306,2025-09-02,50
U.S. House,Henry C. "Hank" Johnson,GA,04,D,SIGNED,202-225-1605,2025-09-02,51
U.S. House,Jill N. Tokuda,HI,02,D,SIGNED,202-225-4906,2025-09-02,52
U.S. House,Adriano Espaillat,NY,13,D,SIGNED,202-225-4365,2025-09-02,53
U.S. House,Ro Khanna,CA,17,D,SIGNED,202-225-2631,2025-09-02,54
U.S. House,Andrea Salinas,OR,06,D,SIGNED,202-225-5643,2025-09-02,55
U.S. House,Lauren Boebert,CO,04,R,SIGNED,202-225-4761,2025-09-02,56
U.S. House,Sarah Elfreth,MD,03,D,SIGNED,202-225-4016,2025-09-02,57
U.S. House,Frederica S. Wilson,FL,24,D,SIGNED,202-225-4506,2025-09-02,58
U.S. House,Patrick Ryan,NY,18,D,SIGNED,202-225-5614,2025-09-02,59
U.S. House,Marilyn Strickland,WA,10,D,SIGNED,202-225-9740,2025-09-02,60
U.S. House,Marjorie Taylor Greene,GA,14,R,SIGNED,202-225-5211,2025-09-02,61
U.S. House,Alexandria Ocasio-Cortez,NY,14,D,SIGNED,202-225-3965,2025-09-02,62
U.S. House,Lois Frankel,FL,22,D,SIGNED,202-225-9890,2025-09-02,63
U.S. House,Kelly Morrison,MN,03,D,SIGNED,202-225-2871,2025-09-02,64
U.S. House,Kathy Castor,FL,14,D,SIGNED,202-225-3376,2025-09-02,65
U.S. House,Gilbert Ray Cisneros,CA,31,D,SIGNED,202-225-5256,2025-09-02,66
U.S. House,J. Luis Correa,CA,46,D,SIGNED,202-225-2965,2025-09-02,67
U.S. House,Jesús G. "Chuy" García,IL,04,D,SIGNED,202-225-8203,2025-09-02,68
U.S. House,Suhas Subramanyam,VA,10,D,SIGNED,202-225-5136,2025-09-02,69
U.S. House,Norma J. Torres,CA,35,D,SIGNED,202-225-6161,2025-09-02,70
U.S. House,Bradley Scott Schneider,IL,10,D,SIGNED,202-225-4835,2025-09-02,71
U.S. House,Lori Trahan,MA,03,D,SIGNED,202-225-3411,2025-09-02,72
U.S. House,Chris Pappas,NH,01,D,SIGNED,202-225-5456,2025-09-02,73
U.S. House,Alma S. Adams,NC,12,D,SIGNED,202-225-1510,2025-09-02,74
U.S. House,Suzan K. DelBene,WA,01,D,SIGNED,202-225-6311,2025-09-02,75
U.S. House,Nikki Budzinski,IL,13,D,SIGNED,202-225-2371,2025-09-02,76
U.S. House,Marie Gluesenkamp Perez,WA,03,D,SIGNED,202-225-3536,2025-09-02,77
U.S. House,Lucy McBath,GA,06,D,SIGNED,202-225-4501,2025-09-02,78
U.S. House,Veronica Escobar,TX,16,D,SIGNED,202-225-4831,2025-09-02,79
U.S. House,Lizzie Fletcher,TX,07,D,SIGNED,202-225-2571,2025-09-02,80
U.S. House,Greg Stanton,AZ,04,D,SIGNED,202-225-9888,2025-09-02,81
U.S. House,Rashida Tlaib,MI,12,D,SIGNED,202-225-5126,2025-09-02,82
U.S. House,Luz M. Rivas,CA,29,D,SIGNED,202-225-6131,2025-09-02,83
U.S. House,Doris O. Matsui,CA,07,D,SIGNED,202-225-7163,2025-09-02,84
U.S. House,Haley M. Stevens,MI,11,D,SIGNED,202-225-8171,2025-09-02,85
U.S. House,Seth Magaziner,RI,02,D,SIGNED,202-225-2735,2025-09-02,86
U.S. House,Dina Titus,NV,01,D,SIGNED,202-225-5965,2025-09-02,87
U.S. House,Zoe Lofgren,CA,18,D,SIGNED,202-225-3072,2025-09-02,88
U.S. House,Marcy Kaptur,OH,09,D,SIGNED,202-225-4146,2025-09-02,89
U.S. House,Laura Gillen,NY,04,D,SIGNED,202-225-5516,2025-09-02,90
U.S. House,Nellie Pou,NJ,09,D,SIGNED,202-225-5751,2025-09-02,91
U.S. House,Salud O. Carbajal,CA,24,D,SIGNED,202-225-3601,2025-09-02,92
U.S. House,Raja Krishnamoorthi,IL,08,D,SIGNED,202-225-3711,2025-09-02,93
U.S. House,Maggie Goodlander,NH,02,D,SIGNED,202-225-5206,2025-09-02,94
U.S. House,Wesley Bell,MO,01,D,SIGNED,202-225-2406,2025-09-02,95
U.S. House,Kim Schrier,WA,08,D,SIGNED,202-225-7761,2025-09-02,96
U.S. House,Gabe Amo,RI,01,D,SIGNED,202-225-4911,2025-09-02,97
U.S. House,Janice D. Schakowsky,IL,09,D,SIGNED,202-225-2111,2025-09-02,98
U.S. House,Frank J. Mrvan,IN,01,D,SIGNED,202-225-2461,2025-09-02,99
U.S. House,Ayanna Pressley,MA,07,D,SIGNED,202-225-5111,2025-09-02,100
U.S. House,Grace Meng,NY,06,D,SIGNED,202-225-2601,2025-09-02,101
U.S. House,Sarah McBride,DE,AL,D,SIGNED,202-225-4165,2025-09-02,102
U.S. House,Jared Moskowitz,FL,23,D,SIGNED,202-225-3001,2025-09-02,103
U.S. House,Maxwell Frost,FL,10,D,SIGNED,202-225-2176,2025-09-02,104
U.S. House,Delia C. Ramirez,IL,03,D,SIGNED,202-225-5701,2025-09-02,105
U.S. House,Summer L. Lee,PA,12,D,SIGNED,202-225-2135,2025-09-02,106
U.S. House,Jamie Raskin,MD,08,D,SIGNED,202-225-5341,2025-09-02,107
U.S. House,Herbert C. Conaway,NJ,03,D,SIGNED,202-225-4765,2025-09-02,108
U.S. House,Pramila Jayapal,WA,07,D,SIGNED,202-225-3106,2025-09-02,109
U.S. House,Adam Gray,CA,13,D,SIGNED,202-225-1947,2025-09-02,110
U.S. House,Kweisi Mfume,MD,07,D,SIGNED,202-225-4741,2025-09-02,111
U.S. House,John B. Larson,CT,01,D,SIGNED,202-225-2265,2025-09-02,112
U.S. House,Greg Casar,TX,35,D,SIGNED,202-225-5645,2025-09-02,113
U.S. House,Eugene Simon Vindman,VA,07,D,SIGNED,202-225-2815,2025-09-02,114
U.S. House,Emilia Strong Sykes,OH,13,D,SIGNED,202-225-6265,2025-09-02,115
U.S. House,Sara Jacobs,CA,51,D,SIGNED,202-225-2040,2025-09-02,116
U.S. House,Robert Menendez,NJ,08,D,SIGNED,202-225-7919,2025-09-02,117
U.S. House,Nanette Diaz Barragán,CA,44,D,SIGNED,202-225-8220,2025-09-02,118
U.S. House,Jennifer L. McClellan,VA,04,D,SIGNED,202-225-6365,2025-09-02,119
U.S. House,Jahana Hayes,CT,05,D,SIGNED,202-225-4476,2025-09-02,120
U.S. House,Joe Neguse,CO,02,D,SIGNED,202-225-2161,2025-09-02,121
U.S. House,Emanuel Cleaver,MO,05,D,SIGNED,202-225-4535,2025-09-02,122
U.S. House,George Latimer,NY,16,D,SIGNED,202-225-2464,2025-09-02,123
U.S. House,Ilhan Omar,MN,05,D,SIGNED,202-225-4755,2025-09-02,124
U.S. House,André Carson,IN,07,D,SIGNED,202-225-4011,2025-09-02,125
