Representative,State,State Code,District,Party,Signed,Signed Date
Shomari,Figures Alabama,AL,2,Democratic,Yes,2025-09-02
Terri,A. Sewell Alabama,AL,7,Democratic,Yes,2025-09-02
Yassamin,Ansari Arizona,AZ,3,Democratic,Yes,2025-09-02
Greg,Stanton Arizona,AZ,4,Democratic,Yes,2025-09-02
Mark,DeSaulnier California,CA,10,Democratic,Yes,2025-09-03
Nancy,Pelosi California,CA,11,Democratic,Yes,2025-09-02
Lateefah,Simon California,CA,12,Democratic,Yes,2025-09-03
Adam,Gray California,CA,13,Democratic,Yes,2025-09-02
Kevin,Mullin California,CA,15,Democratic,Yes,2025-09-03
Sam,T. Liccardo California,CA,16,Democratic,Yes,2025-09-03
Ro,Khanna California,CA,17,Democratic,Yes,2025-09-02
Zoe,Lofgren California,CA,18,Democratic,Yes,2025-09-02
Jimmy,Panetta California,CA,19,Democratic,Yes,2025-09-02
Jared,Huffman California,CA,2,Democratic,Yes,2025-09-03
Jim,Costa California,CA,21,Democratic,Yes,2025-09-03
Salud,O. Carbajal California,CA,24,Democratic,Yes,2025-09-02
Raul,Ruiz California,CA,25,Democratic,Yes,2025-09-03
Julia,Brownley California,CA,26,Democratic,Yes,2025-09-03
George,Whitesides California,CA,27,Democratic,Yes,2025-09-02
Judy,Chu California,CA,28,Democratic,Yes,2025-09-02
Luz,M. Rivas California,CA,29,Democratic,Yes,2025-09-02
Laura,Friedman California,CA,30,Democratic,Yes,2025-09-02
Gilbert,Ray Cisneros California,CA,31,Democratic,Yes,2025-09-02
Brad,Sherman California,CA,32,Democratic,Yes,2025-09-03
Pete,Aguilar California,CA,33,Democratic,Yes,2025-09-03
Jimmy,Gomez California,CA,34,Democratic,Yes,2025-09-03
Norma,J. Torres California,CA,35,Democratic,Yes,2025-09-02
Ted,Lieu California,CA,36,Democratic,Yes,2025-09-03
Sydney Kamlager-Dove,California,CA,37,Democratic,Yes,2025-09-03
Linda T. Sánchez,California,CA,38,Democratic,Yes,2025-09-03
Mark,Takano California,CA,39,Democratic,Yes,2025-09-02
Mike,Thompson California,CA,4,Democratic,Yes,2025-09-03
Robert,Garcia California,CA,42,Democratic,Yes,2025-09-02
Maxine,Waters California,CA,43,Democratic,Yes,2025-09-02
Nanette Diaz Barragán,California,CA,44,Democratic,Yes,2025-09-02
Derek,Tran California,CA,45,Democratic,Yes,2025-09-03
J.,Luis Correa California,CA,46,Democratic,Yes,2025-09-02
Dave,Min California,CA,47,Democratic,Yes,2025-09-02
Mike,Levin California,CA,49,Democratic,Yes,2025-09-03
Scott,H. Peters California,CA,50,Democratic,Yes,2025-09-03
Sara,Jacobs California,CA,51,Democratic,Yes,2025-09-02
Juan,Vargas California,CA,52,Democratic,Yes,2025-09-03
Ami,Bera California,CA,6,Democratic,Yes,2025-09-03
Doris,O. Matsui California,CA,7,Democratic,Yes,2025-09-02
John,Garamendi California,CA,8,Democratic,Yes,2025-09-03
Josh,Harder California,CA,9,Democratic,Yes,2025-09-03
Diana,DeGette Colorado,CO,1,Democratic,Yes,2025-09-03
Joe,Neguse Colorado,CO,2,Democratic,Yes,2025-09-02
Lauren,Boebert Colorado,CO,4,Republican,Yes,2025-09-02
Jason,Crow Colorado,CO,6,Democratic,Yes,2025-09-02
Brittany,Pettersen Colorado,CO,7,Democratic,Yes,2025-09-03
John,B. Larson Connecticut,CT,1,Democratic,Yes,2025-09-02
Joe,Courtney Connecticut,CT,2,Democratic,Yes,2025-09-02
Rosa,L. DeLauro Connecticut,CT,3,Democratic,Yes,2025-09-03
James,A. Himes Connecticut,CT,4,Democratic,Yes,2025-09-03
Jahana,Hayes Connecticut,CT,5,Democratic,Yes,2025-09-02
Sarah,McBride Delaware,DE,,Democratic,Yes,2025-09-02
Maxwell,Frost Florida,FL,10,Democratic,Yes,2025-09-02
Kathy,Castor Florida,FL,14,Democratic,Yes,2025-09-02
Sheila Cherfilus-McCormick,Florida,FL,20,Democratic,Yes,2025-09-02
Lois,Frankel Florida,FL,22,Democratic,Yes,2025-09-02
Jared,Moskowitz Florida,FL,23,Democratic,Yes,2025-09-02
Frederica,S. Wilson Florida,FL,24,Democratic,Yes,2025-09-02
Debbie,Wasserman Schultz Florida,FL,25,Democratic,Yes,2025-09-03
Darren,Soto Florida,FL,9,Democratic,Yes,2025-09-03
David,Scott Georgia,GA,13,Democratic,Yes,2025-09-03
Marjorie,Taylor Greene Georgia,GA,14,Republican,Yes,2025-09-02
Sanford,D. Bishop Georgia,GA,2,Democratic,Yes,2025-09-03
"Henry C. ""Hank""",Johnson Georgia,GA,4,Democratic,Yes,2025-09-02
Nikema,Williams Georgia,GA,5,Democratic,Yes,2025-09-02
Lucy,McBath Georgia,GA,6,Democratic,Yes,2025-09-02
Ed,Case Hawaii,HI,1,Democratic,Yes,2025-09-03
Jill,N. Tokuda Hawaii,HI,2,Democratic,Yes,2025-09-02
Jonathan,L. Jackson Illinois,IL,1,Democratic,Yes,2025-09-02
Bradley,Scott Schneider Illinois,IL,10,Democratic,Yes,2025-09-02
Bill,Foster Illinois,IL,11,Democratic,Yes,2025-09-02
Nikki,Budzinski Illinois,IL,13,Democratic,Yes,2025-09-02
Lauren,Underwood Illinois,IL,14,Democratic,Yes,2025-09-02
Eric,Sorensen Illinois,IL,17,Democratic,Yes,2025-09-03
Robin,L. Kelly Illinois,IL,2,Democratic,Yes,2025-09-03
Delia,C. Ramirez Illinois,IL,3,Democratic,Yes,2025-09-02
"Jesús G. ""Chuy"" García",Illinois,IL,4,Democratic,Yes,2025-09-02
Mike,Quigley Illinois,IL,5,Democratic,Yes,2025-09-02
Sean,Casten Illinois,IL,6,Democratic,Yes,2025-09-02
Danny,K. Davis Illinois,IL,7,Democratic,Yes,2025-09-03
Raja,Krishnamoorthi Illinois,IL,8,Democratic,Yes,2025-09-02
Janice,D. Schakowsky Illinois,IL,9,Democratic,Yes,2025-09-02
Frank,J. Mrvan Indiana,IN,1,Democratic,Yes,2025-09-02
André,Carson Indiana,IN,7,Democratic,Yes,2025-09-02
Sharice,Davids Kansas,KS,3,Democratic,Yes,2025-09-03
Morgan,McGarvey Kentucky,KY,3,Democratic,Yes,2025-09-02
Thomas,Massie Kentucky,KY,4,Republican,Yes,2025-09-02
Troy,A. Carter Louisiana,LA,2,Democratic,Yes,2025-09-02
Cleo,Fields Louisiana,LA,6,Democratic,Yes,2025-09-02
Richard,E. Neal Massachusetts,MA,1,Democratic,Yes,2025-09-03
James,P. McGovern Massachusetts,MA,2,Democratic,Yes,2025-09-02
Lori,Trahan Massachusetts,MA,3,Democratic,Yes,2025-09-02
Jake,Auchincloss Massachusetts,MA,4,Democratic,Yes,2025-09-03
Katherine,M. Clark Massachusetts,MA,5,Democratic,Yes,2025-09-03
Seth,Moulton Massachusetts,MA,6,Democratic,Yes,2025-09-03
Ayanna,Pressley Massachusetts,MA,7,Democratic,Yes,2025-09-02
Stephen,F. Lynch Massachusetts,MA,8,Democratic,Yes,2025-09-02
William,R. Keating Massachusetts,MA,9,Democratic,Yes,2025-09-03
Johnny,Olszewski Maryland,MD,2,Democratic,Yes,2025-09-02
Sarah,Elfreth Maryland,MD,3,Democratic,Yes,2025-09-02
Glenn,Ivey Maryland,MD,4,Democratic,Yes,2025-09-03
Steny,H. Hoyer Maryland,MD,5,Democratic,Yes,2025-09-03
April,McClain Delaney Maryland,MD,6,Democratic,Yes,2025-09-03
Kweisi,Mfume Maryland,MD,7,Democratic,Yes,2025-09-02
Jamie,Raskin Maryland,MD,8,Democratic,Yes,2025-09-02
Chellie,Pingree Maine,ME,1,Democratic,Yes,2025-09-03
Jared,F. Golden Maine,ME,2,Democratic,Yes,2025-09-02
Haley,M. Stevens Michigan,MI,11,Democratic,Yes,2025-09-02
Rashida,Tlaib Michigan,MI,12,Democratic,Yes,2025-09-02
Shri,Thanedar Michigan,MI,13,Democratic,Yes,2025-09-02
Hillary,J. Scholten Michigan,MI,3,Democratic,Yes,2025-09-03
Debbie,Dingell Michigan,MI,6,Democratic,Yes,2025-09-02
Kristen,McDonald Rivet Michigan,MI,8,Democratic,Yes,2025-09-02
Angie,Craig Minnesota,MN,2,Democratic,Yes,2025-09-03
Kelly,Morrison Minnesota,MN,3,Democratic,Yes,2025-09-02
Betty,McCollum Minnesota,MN,4,Democratic,Yes,2025-09-03
Ilhan,Omar Minnesota,MN,5,Democratic,Yes,2025-09-02
Wesley,Bell Missouri,MO,1,Democratic,Yes,2025-09-02
Emanuel,Cleaver Missouri,MO,5,Democratic,Yes,2025-09-02
Bennie,G. Thompson Mississippi,MS,2,Democratic,Yes,2025-09-02
Donald,G. Davis North Carolina,NC,1,Democratic,Yes,2025-09-02
Alma,S. Adams North Carolina,NC,12,Democratic,Yes,2025-09-02
Deborah,K. Ross North Carolina,NC,2,Democratic,Yes,2025-09-02
Valerie,P. Foushee North Carolina,NC,4,Democratic,Yes,2025-09-03
Chris,Pappas New Hampshire,NH,1,Democratic,Yes,2025-09-02
Maggie,Goodlander New Hampshire,NH,2,Democratic,Yes,2025-09-02
Donald,Norcross New Jersey,NJ,1,Democratic,Yes,2025-09-03
LaMonica,McIver New Jersey,NJ,10,Democratic,Yes,2025-09-02
Mikie,Sherrill New Jersey,NJ,11,Democratic,Yes,2025-09-03
Bonnie,Watson Coleman New Jersey,NJ,12,Democratic,Yes,2025-09-02
Herbert,C. Conaway New Jersey,NJ,3,Democratic,Yes,2025-09-02
Josh,Gottheimer New Jersey,NJ,5,Democratic,Yes,2025-09-02
Frank,Pallone New Jersey,NJ,6,Democratic,Yes,2025-09-03
Robert,Menendez New Jersey,NJ,8,Democratic,Yes,2025-09-02
Nellie,Pou New Jersey,NJ,9,Democratic,Yes,2025-09-02
Melanie,A. Stansbury New Mexico,NM,1,Democratic,Yes,2025-09-02
Gabe,Vasquez New Mexico,NM,2,Democratic,Yes,2025-09-02
Teresa,Leger Fernandez New Mexico,NM,3,Democratic,Yes,2025-09-03
Dina,Titus Nevada,NV,1,Democratic,Yes,2025-09-02
Susie,Lee Nevada,NV,3,Democratic,Yes,2025-09-03
Steven,Horsford Nevada,NV,4,Democratic,Yes,2025-09-03
Jerrold,Nadler New York,NY,12,Democratic,Yes,2025-09-03
Adriano,Espaillat New York,NY,13,Democratic,Yes,2025-09-02
Alexandria Ocasio-Cortez,New York,NY,14,Democratic,Yes,2025-09-02
Ritchie,Torres New York,NY,15,Democratic,Yes,2025-09-03
George,Latimer New York,NY,16,Democratic,Yes,2025-09-02
Patrick,Ryan New York,NY,18,Democratic,Yes,2025-09-02
Josh,Riley New York,NY,19,Democratic,Yes,2025-09-03
Paul,Tonko New York,NY,20,Democratic,Yes,2025-09-02
John,W. Mannion New York,NY,22,Democratic,Yes,2025-09-02
Joseph,D. Morelle New York,NY,25,Democratic,Yes,2025-09-03
Timothy,M. Kennedy New York,NY,26,Democratic,Yes,2025-09-03
Thomas,R. Suozzi New York,NY,3,Democratic,Yes,2025-09-02
Laura,Gillen New York,NY,4,Democratic,Yes,2025-09-02
Gregory,W. Meeks New York,NY,5,Democratic,Yes,2025-09-02
Grace,Meng New York,NY,6,Democratic,Yes,2025-09-02
Nydia M. Velázquez,New York,NY,7,Democratic,Yes,2025-09-03
Hakeem,S. Jeffries New York,NY,8,Democratic,Yes,2025-09-03
Yvette,D. Clarke New York,NY,9,Democratic,Yes,2025-09-03
Greg,Landsman Ohio,OH,1,Democratic,Yes,2025-09-02
Shontel,M. Brown Ohio,OH,11,Democratic,Yes,2025-09-02
Emilia,Strong Sykes Ohio,OH,13,Democratic,Yes,2025-09-02
Joyce,Beatty Ohio,OH,3,Democratic,Yes,2025-09-03
Marcy,Kaptur Ohio,OH,9,Democratic,Yes,2025-09-02
Suzanne,Bonamici Oregon,OR,1,Democratic,Yes,2025-09-03
Maxine,Dexter Oregon,OR,3,Democratic,Yes,2025-09-02
Val,T. Hoyle Oregon,OR,4,Democratic,Yes,2025-09-03
Janelle,S. Bynum Oregon,OR,5,Democratic,Yes,2025-09-02
Andrea,Salinas Oregon,OR,6,Democratic,Yes,2025-09-02
Summer,L. Lee Pennsylvania,PA,12,Democratic,Yes,2025-09-02
Christopher,R. Deluzio Pennsylvania,PA,17,Democratic,Yes,2025-09-03
Brendan,F. Boyle Pennsylvania,PA,2,Democratic,Yes,2025-09-03
Dwight,Evans Pennsylvania,PA,3,Democratic,Yes,2025-09-02
Madeleine,Dean Pennsylvania,PA,4,Democratic,Yes,2025-09-03
Mary,Gay Scanlon Pennsylvania,PA,5,Democratic,Yes,2025-09-02
Chrissy,Houlahan Pennsylvania,PA,6,Democratic,Yes,2025-09-02
Gabe,Amo Rhode Island,RI,1,Democratic,Yes,2025-09-02
Seth,Magaziner Rhode Island,RI,2,Democratic,Yes,2025-09-02
Nancy,Mace South Carolina,SC,1,Republican,Yes,2025-09-02
James,E. Clyburn South Carolina,SC,6,Democratic,Yes,2025-09-03
Steve,Cohen Tennessee,TN,9,Democratic,Yes,2025-09-02
Veronica,Escobar Texas,TX,16,Democratic,Yes,2025-09-02
Joaquin,Castro Texas,TX,20,Democratic,Yes,2025-09-03
Henry,Cuellar Texas,TX,28,Democratic,Yes,2025-09-03
Sylvia,R. Garcia Texas,TX,29,Democratic,Yes,2025-09-03
Jasmine,Crockett Texas,TX,30,Democratic,Yes,2025-09-02
Julie,Johnson Texas,TX,32,Democratic,Yes,2025-09-02
Marc,A. Veasey Texas,TX,33,Democratic,Yes,2025-09-03
Vicente,Gonzalez Texas,TX,34,Democratic,Yes,2025-09-03
Greg,Casar Texas,TX,35,Democratic,Yes,2025-09-02
Lloyd,Doggett Texas,TX,37,Democratic,Yes,2025-09-03
Lizzie,Fletcher Texas,TX,7,Democratic,Yes,2025-09-02
Al,Green Texas,TX,9,Democratic,Yes,2025-09-02
Suhas,Subramanyam Virginia,VA,10,Democratic,Yes,2025-09-02
"Robert C. ""Bobby""",Scott Virginia,VA,3,Democratic,Yes,2025-09-02
Jennifer,L. McClellan Virginia,VA,4,Democratic,Yes,2025-09-02
Eugene,Simon Vindman Virginia,VA,7,Democratic,Yes,2025-09-02
Donald,S. Beyer Virginia,VA,8,Democratic,Yes,2025-09-03
Becca,Balint Vermont,VT,,Democratic,Yes,2025-09-02
Suzan,K. DelBene Washington,WA,1,Democratic,Yes,2025-09-02
Marilyn,Strickland Washington,WA,10,Democratic,Yes,2025-09-02
Rick,Larsen Washington,WA,2,Democratic,Yes,2025-09-03
Marie,Gluesenkamp Perez Washington,WA,3,Democratic,Yes,2025-09-02
Emily,Randall Washington,WA,6,Democratic,Yes,2025-09-02
Pramila,Jayapal Washington,WA,7,Democratic,Yes,2025-09-02
Kim,Schrier Washington,WA,8,Democratic,Yes,2025-09-02
Adam,Smith Washington,WA,9,Democratic,Yes,2025-09-03
Mark,Pocan Wisconsin,WI,2,Democratic,Yes,2025-09-03
Gwen,Moore Wisconsin,WI,4,Democratic,Yes,2025-09-03
