Name,State,District,Party,Signature_Status,Signed_Date,Phone,Priority,Notes,Last_Verified,Last_Contact,Contact_Response
Nicholas Begich,AK,AL,R,NOT_SIGNED,,202-225-5765,STANDARD,Freshman,,,
Barry Moore,AL,1,R,NOT_SIGNED,,202-225-2901,STANDARD,,,,
Shomari Figures,AL,2,D,SIGNED,2025-09-02,202-225-2665,,Freshman,2025-09-03,,
Mike Rogers,AL,3,R,NOT_SIGNED,,202-225-3261,STANDARD,Armed Services Chair,,,
Robert Aderholt,AL,4,R,NOT_SIGNED,,202-225-4876,STANDARD,Appropriations,,,
Dale Strong,AL,5,R,NOT_SIGNED,,202-225-4801,STANDARD,Freshman,,,
Gary Palmer,AL,6,R,NOT_SIGNED,,202-225-4921,STANDARD,Policy Chair,,,
Terri Sewell,AL,7,D,SIGNED,2025-09-02,202-225-2665,,,2025-09-03,,
Rick Crawford,AR,1,R,NOT_SIGNED,,202-225-4076,STANDARD,,,,
French Hill,AR,2,R,NOT_SIGNED,,202-225-2506,STANDARD,,,,
Steve Womack,AR,3,R,NOT_SIGNED,,202-225-4301,STANDARD,,,,
Bruce Westerman,AR,4,R,NOT_SIGNED,,202-225-3772,STANDARD,Natural Resources Chair,,,
Aumua Amata Radewagen,AS,AL,R,NOT_SIGNED,,202-225-8577,STANDARD,Non-voting delegate,,,
David Schweikert,AZ,1,R,NOT_SIGNED,,202-225-2190,STANDARD,,,,
Eli Crane,AZ,2,R,NOT_SIGNED,,202-225-3361,STANDARD,,,,
Yassamin Ansari,AZ,3,D,SIGNED,2025-09-02,202-225-3435,,Freshman,2025-09-03,,
Greg Stanton,AZ,4,D,SIGNED,2025-09-02,202-225-9888,,,2025-09-03,,
Andy Biggs,AZ,5,R,NOT_SIGNED,,202-225-2635,STANDARD,Freedom Caucus,,,
Juan Ciscomani,AZ,6,R,NOT_SIGNED,,202-225-2542,STANDARD,Freshman moderate,,,
Abraham Hamadeh,AZ,8,R,NOT_SIGNED,,202-225-3708,STANDARD,Freshman,,,
Paul Gosar,AZ,9,R,NOT_SIGNED,,202-225-2315,STANDARD,,,,
Doug LaMalfa,CA,1,R,NOT_SIGNED,,202-225-3076,STANDARD,,,,
Mark DeSaulnier,CA,10,D,SIGNED,2025-09-03,202-225-2095,,,2025-09-03,,
Nancy Pelosi,CA,11,D,SIGNED,2025-09-02,202-225-4965,,Former Speaker,2025-09-03,,
Lateefah Simon,CA,12,D,SIGNED,2025-09-03,202-225-5161,,Freshman - replaced Barbara Lee,2025-09-03,,
Adam Gray,CA,13,D,SIGNED,2025-09-02,202-225-6131,,Freshman,2025-09-03,,
Eric Swalwell,CA,14,D,NOT_SIGNED,,202-225-5065,URGENT - Only Dem,Only Democrat not signed (211/212),,,
Kevin Mullin,CA,15,D,SIGNED,2025-09-03,202-225-3531,,,2025-09-03,,
Sam Liccardo,CA,16,D,SIGNED,2025-09-03,202-225-8104,,Freshman - former San Jose mayor,2025-09-03,,
