Name,State,District,Signature Status
Nicholas J. Begich,AK,AL,Not Signed
Barry Moore,AL,1,Not Signed
Shomari Figures,AL,2,Not Signed
Mike D. Rogers,AL,3,Not Signed
Robert B. Aderholt,AL,4,Not Signed
Dale W. Strong,AL,5,Not Signed
Gary J. Palmer,AL,6,Not Signed
Terri A. Sewell,AL,7,Not Signed
"Eric A. ""Rick"" Crawford",AR,1,Not Signed
J. French Hill,AR,2,Not Signed
Steve Womack,AR,3,Not Signed
Bruce Westerman,AR,4,Not Signed
David Schweikert,AZ,1,Not Signed
Elijah Crane,AZ,2,Not Signed
Yassamin Ansari,AZ,3,Signed
Greg Stanton,AZ,4,Not Signed
Andy Biggs,AZ,5,Not Signed
Juan Ciscomani,AZ,6,Not Signed
Abraham J. Hamadeh,AZ,8,Not Signed
Paul A. Gosar,AZ,9,Not Signed
Doug LaMalfa,CA,1,Not Signed
Mark DeSaulnier,CA,10,Not Signed
Nancy Pelosi,CA,11,Signed
Lateefah Simon,CA,12,Not Signed
Adam Gray,CA,13,Not Signed
Eric Swalwell,CA,14,Not Signed
Kevin Mullin,CA,15,Not Signed
Sam T. Liccardo,CA,16,Not Signed
Ro Khanna,CA,17,Not Signed
Zoe Lofgren,CA,18,Not Signed
Jimmy Panetta,CA,19,Signed
Jared Huffman,CA,2,Not Signed
Vince Fong,CA,20,Not Signed
Jim Costa,CA,21,Not Signed
David G. Valadao,CA,22,Not Signed
Jay Obernolte,CA,23,Not Signed
Salud O. Carbajal,CA,24,Not Signed
Raul Ruiz,CA,25,Not Signed
Julia Brownley,CA,26,Not Signed
George Whitesides,CA,27,Signed
Judy Chu,CA,28,Not Signed
Luz M. Rivas,CA,29,Not Signed
Kevin Kiley,CA,3,Not Signed
Laura Friedman,CA,30,Signed
Gilbert Ray Cisneros,CA,31,Not Signed
Brad Sherman,CA,32,Not Signed
Pete Aguilar,CA,33,Not Signed
Jimmy Gomez,CA,34,Not Signed
Norma J. Torres,CA,35,Not Signed
Ted Lieu,CA,36,Not Signed
Sydney Kamlager-Dove,CA,37,Not Signed
Linda T. Sánchez,CA,38,Not Signed
Mark Takano,CA,39,Not Signed
Mike Thompson,CA,4,Not Signed
Young Kim,CA,40,Not Signed
Ken Calvert,CA,41,Not Signed
Robert Garcia,CA,42,Not Signed
Maxine Waters,CA,43,Not Signed
Nanette Diaz Barragán,CA,44,Not Signed
Derek Tran,CA,45,Not Signed
J. Luis Correa,CA,46,Not Signed
Dave Min,CA,47,Not Signed
Darrell Issa,CA,48,Not Signed
Mike Levin,CA,49,Not Signed
Tom McClintock,CA,5,Not Signed
Scott H. Peters,CA,50,Not Signed
Sara Jacobs,CA,51,Not Signed
Juan Vargas,CA,52,Not Signed
Ami Bera,CA,6,Not Signed
Doris O. Matsui,CA,7,Not Signed
John Garamendi,CA,8,Not Signed
Josh Harder,CA,9,Not Signed
Diana DeGette,CO,1,Not Signed
Joe Neguse,CO,2,Not Signed
Jeff Hurd,CO,3,Not Signed
Lauren Boebert,CO,4,Not Signed
Jeff Crank,CO,5,Not Signed
Jason Crow,CO,6,Not Signed
Brittany Pettersen,CO,7,Not Signed
Gabe Evans,CO,8,Not Signed
John B. Larson,CT,1,Not Signed
Joe Courtney,CT,2,Signed
Rosa L. DeLauro,CT,3,Not Signed
James A. Himes,CT,4,Not Signed
Jahana Hayes,CT,5,Not Signed
Sarah McBride,DE,AL,Not Signed
Jimmy Patronis,FL,1,Not Signed
Maxwell Frost,FL,10,Not Signed
Daniel Webster,FL,11,Not Signed
Gus M. Bilirakis,FL,12,Not Signed
Anna Paulina Luna,FL,13,Not Signed
Kathy Castor,FL,14,Not Signed
